ranking,director,actor
1,Alfred Hitchcock,Tom Hanks
2,Stanley Kubrick,Gene Hackman
3,Martin Scorsese,Henry Fonda
4,Akira Kurosawa,Anthony Hopkins
5,Andrei Tarkovsky,Morgan Freeman
6,Quentin Tarantino,Helen Mirren
7,Sergio Leone,Clint Eastwood
8,David Lynch,Jodie Foster
9,Federico Fellini,Tommy Lee Jones
10,Christopher Nolan,Robert Duvall
11,Ingmar Bergman,Judi Dench
12,Francis Ford Coppola,Paul Newman
13,Steven Spielberg,Michael Caine
14,The Coen Brothers,Jack Lemmon
15,Frank Capra,Clark Gable
16,David Fincher,Hugh Jackman
17,Sidney Lumet,Sean Connery
18,Paul Thomas Anderson,Christopher Walken
19,Billy Wilder,Ingrid Bergman
20,Hayao Miyazaki,Vivien Leigh
21,David Lean,Alan Rickman
22,Orson Welles,Kate Winslet
23,Elia Kazan,Meryl Streep
24,Dennis Villeneuve,Kathy Bates
25,Charlie Chaplin,Judy Garland
26,John Ford,Sidney Poitier
27,George Cukor,Cary Grant
28,Milos Forman,Robert Redford
29,William Wyler,Al Pacino
30,Michael Curtiz,Heath Ledger
31,Howard Hawks,Christian Bale
32,F. W. Murnau,Robert Downey Jr.
33,John Huston,Dustin Hoffman
34,Clint Eastwood,Gary Oldman
35,Yasujiro Ozu,Gary Cooper
36,Guillermo del Toro,Julie Andrews
37,Fritz Lang,Cate Blanchett
38,Mel Brooks,Harrison Ford
39,John Carpenter,Faye Dunaway
40,Ridley Scott,Ian McKellen
41,Robert Zemeckis,Gregory Peck
42,Luis Bunuel,Maggie Smith
43,Jean-Luc Godard,Ralph Fiennes
44,Roberto Rosselini,Samuel L. Jackson
45,Wes Anderson,Ed Harris
46,Werner Herzog,Steve McQueen
47,Buster Keaton,Edward Norton
48,Brian De Palma,Matthew McConaughey
49,Otto Preminger,Lauren Bacall
50,Jean Renoir,Maureen O'Hara
